prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
151.216.8.0/21,,,GlobeLAN 31,,,Active,,,
151.216.8.0/22,,,GlobeLAN 31,,,Active,,,Wireless
151.216.12.0/25,,,GlobeLAN 31,,,Active,,,Crew
151.216.12.128/26,,,GlobeLAN 31,,,Active,,,Tech
151.216.12.192/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-1
151.216.12.224/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-2
151.216.13.0/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-3
151.216.13.32/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-4
151.216.13.64/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-5
151.216.13.96/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-6
151.216.13.128/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-7
151.216.13.160/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-8
151.216.13.192/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-9
151.216.13.224/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-10
151.216.14.0/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-11
151.216.14.32/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-12
151.216.14.64/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-13
151.216.14.96/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-14
151.216.14.128/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-15
151.216.14.160/27,,,GlobeLAN 31,,,Active,,,Deltakerrad-16
151.216.14.192/27,,,GlobeLAN 31,,,Reserved,,,Deltakerrad-17
151.216.14.224/27,,,GlobeLAN 31,,,Reserved,,,Deltakerrad-18
151.216.15.0/27,,,GlobeLAN 31,,,Active,,,Kiosk
