prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
151.216.8.0/23,,,PP27,,,Active,,,Wireless
151.216.10.0/25,,,PP27,,,Active,,,Tech
151.216.10.128/25,,,PP27,,,Active,,,Crew
151.216.11.0/26,,,PP27,,,Active,,,Linknett
151.216.11.64/26,,,PP27,,,Active,,,Retrospillmessen
151.216.11.128/27,,,PP27,,,Active,,,Deltakerrad-1
151.216.11.160/27,,,PP27,,,Active,,,Deltakerrad-2
151.216.11.192/27,,,PP27,,,Active,,,Deltakerrad-3
151.216.11.224/27,,,PP27,,,Active,,,Deltakerrad-4
151.216.12.0/27,,,PP27,,,Active,,,Deltakerrad-5
151.216.12.32/27,,,PP27,,,Active,,,Deltakerrad-6
151.216.12.64/27,,,PP27,,,Active,,,Deltakerrad-7
151.216.12.96/27,,,PP27,,,Active,,,Deltakerrad-8
151.216.12.128/27,,,PP27,,,Active,,,Deltakerrad-9
151.216.12.160/27,,,PP27,,,Active,,,Deltakerrad-10
151.216.12.192/27,,,PP27,,,Active,,,Deltakerrad-11
151.216.12.224/27,,,PP27,,,Active,,,Deltakerrad-12
151.216.13.0/27,,,PP27,,,Active,,,Deltakerrad-13
151.216.13.32/27,,,PP27,,,Active,,,Deltakerrad-14
151.216.13.64/27,,,PP27,,,Active,,,Deltakerrad-15
151.216.13.96/27,,,PP27,,,Active,,,Deltakerrad-16
151.216.13.128/27,,,PP27,,,Active,,,Deltakerrad-17
151.216.13.160/27,,,PP27,,,Active,,,Deltakerrad-18
151.216.13.192/27,,,PP27,,,Active,,,Scene og media
151.216.13.224/27,,,PP27,,,Active,,,Inngang og kantine
151.216.14.0/27,,,PP27,,,Active,,,Komfortrad-1-5
151.216.14.32/27,,,PP27,,,Active,,,Komfortrad-2-6
151.216.14.64/27,,,PP27,,,Active,,,Komfortrad-3-7
151.216.14.96/27,,,PP27,,,Active,,,Komfortrad-4-8
151.216.14.128/27,,,PP27,,,Active,,,komplett-no
151.216.14.160/27,,,PP27,,,Active,,,SuperdeskNett
